k,n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
3,9,0.3333333333333333,0.0,19,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,19,unidirectional,chi-squared (Akhtar et al. 2019),2.9244006764773727,0.9390117790471393,0
3,9,0.3333333333333333,0.0,19,unidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,19,bidirectional,apunim,-0.2263903079842358,1.0870910184840291e-23,1
3,9,0.3333333333333333,0.0,19,bidirectional,Krippendorff delta-alpha,-0.0065037754068570566,0.6467661691542289,0
3,9,0.3333333333333333,0.0,19,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,19,bidirectional,chi-squared (Akhtar et al. 2019),6.346173839501614,0.6085158348758397,0
3,9,0.3333333333333333,0.0,19,bidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,20,unidirectional,apunim,-0.15978883188341148,1.188253046525844e-12,1
3,9,0.3333333333333333,0.0,20,unidirectional,Krippendorff delta-alpha,-0.024753644782489648,0.8905472636815921,0
3,9,0.3333333333333333,0.0,20,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,20,unidirectional,chi-squared (Akhtar et al. 2019),3.421263160915702,0.9052137649400637,0
3,9,0.3333333333333333,0.0,20,unidirectional,GMM clustering (Checco/Mignemi),-0.05,1.0,0
3,9,0.3333333333333333,0.0,20,bidirectional,apunim,0.07016353907604166,0.0032736030638506938,1
3,9,0.3333333333333333,0.0,20,bidirectional,Krippendorff delta-alpha,-0.016464508234760127,0.8159203980099502,0
3,9,0.3333333333333333,0.0,20,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,20,bidirectional,chi-squared (Akhtar et al. 2019),3.7927840609112766,0.8753184657019182,0
3,9,0.3333333333333333,0.0,20,bidirectional,GMM clustering (Checco/Mignemi),-0.11764705882352941,1.0,0
3,9,0.3333333333333333,0.0,21,unidirectional,apunim,0.06425973326148463,0.014753230819332011,1
3,9,0.3333333333333333,0.0,21,unidirectional,Krippendorff delta-alpha,-0.021756485717949525,0.8756218905472637,0
3,9,0.3333333333333333,0.0,21,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,21,unidirectional,chi-squared (Akhtar et al. 2019),4.05380795103858,0.8522363584602384,0
3,9,0.3333333333333333,0.0,21,unidirectional,GMM clustering (Checco/Mignemi),0.05555555555555555,0.6467661691542289,0
3,9,0.3333333333333333,0.0,21,bidirectional,apunim,-0.22699468978960816,5.249125543832286e-22,1
3,9,0.3333333333333333,0.0,21,bidirectional,Krippendorff delta-alpha,-0.027252769214834403,0.9104477611940298,0
3,9,0.3333333333333333,0.0,21,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,21,bidirectional,chi-squared (Akhtar et al. 2019),4.093690295813365,0.8485729502550041,0
3,9,0.3333333333333333,0.0,21,bidirectional,GMM clustering (Checco/Mignemi),-0.16666666666666666,1.0,0
3,9,0.3333333333333333,0.0,22,unidirectional,apunim,-0.11724762335898617,6.745690493916014e-08,1
3,9,0.3333333333333333,0.0,22,unidirectional,Krippendorff delta-alpha,0.0014860476489263856,0.6069651741293532,0
3,9,0.3333333333333333,0.0,22,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,22,unidirectional,chi-squared (Akhtar et al. 2019),7.160506737406192,0.5194185108555925,0
3,9,0.3333333333333333,0.0,22,unidirectional,GMM clustering (Checco/Mignemi),0.35294117647058826,0.15422885572139303,0
3,9,0.3333333333333333,0.0,22,bidirectional,apunim,-0.0996182381329685,5.171525492656288e-06,1
3,9,0.3333333333333333,0.0,22,bidirectional,Krippendorff delta-alpha,0.0027773911843916865,0.39800995024875624,0
3,9,0.3333333333333333,0.0,22,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,22,bidirectional,chi-squared (Akhtar et al. 2019),8.717531941737168,0.36668212548573137,0
3,9,0.3333333333333333,0.0,22,bidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,23,unidirectional,apunim,-0.05146173993062915,0.07524759393019262,0
3,9,0.3333333333333333,0.0,23,unidirectional,Krippendorff delta-alpha,-0.025919830261991884,0.8855721393034826,0
3,9,0.3333333333333333,0.0,23,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,23,unidirectional,chi-squared (Akhtar et al. 2019),6.843180111053432,0.5536431824724348,0
3,9,0.3333333333333333,0.0,23,unidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,23,bidirectional,apunim,-0.13002427839223057,1.0865865902028143e-10,1
3,9,0.3333333333333333,0.0,23,bidirectional,Krippendorff delta-alpha,-0.025632128351104178,0.945273631840796,0
3,9,0.3333333333333333,0.0,23,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,23,bidirectional,chi-squared (Akhtar et al. 2019),16.58718779374976,0.03470651093747631,1
3,9,0.3333333333333333,0.0,23,bidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,24,unidirectional,apunim,0.060815229237811214,0.011818121190745105,1
3,9,0.3333333333333333,0.0,24,unidirectional,Krippendorff delta-alpha,0.010829712034877668,0.24378109452736318,0
3,9,0.3333333333333333,0.0,24,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,24,unidirectional,chi-squared (Akhtar et al. 2019),8.620633511461284,0.3753018780410154,0
3,9,0.3333333333333333,0.0,24,unidirectional,GMM clustering (Checco/Mignemi),0.05555555555555555,0.6915422885572139,0
3,9,0.3333333333333333,0.0,24,bidirectional,apunim,-0.0785533287261001,0.0015533067625571073,1
3,9,0.3333333333333333,0.0,24,bidirectional,Krippendorff delta-alpha,0.009348045147759478,0.3383084577114428,0
3,9,0.3333333333333333,0.0,24,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,24,bidirectional,chi-squared (Akhtar et al. 2019),4.7339432901117835,0.7855972282376622,0
3,9,0.3333333333333333,0.0,24,bidirectional,GMM clustering (Checco/Mignemi),0.11764705882352941,0.35323383084577115,0
