n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
80,0.5,0.0,20,bidirectional,apunim,-0.015142579641990747,0.3387063506446332,0
80,0.5,0.0,20,bidirectional,Krippendorff delta-alpha,0.0013202115245850021,0.13930348258706468,0
80,0.5,0.0,20,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,20,bidirectional,chi-squared (Akhtar et al. 2019),0.06740876478100918,0.9994446099976902,0
80,0.5,0.0,20,bidirectional,GMM clustering (Checco/Mignemi),-0.003054892601431981,0.7562189054726368,0
80,0.5,0.0,21,unidirectional,apunim,0.019201914373507153,0.2614360410477844,0
80,0.5,0.0,21,unidirectional,Krippendorff delta-alpha,0.00012297136172090273,0.3880597014925373,0
80,0.5,0.0,21,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,21,unidirectional,chi-squared (Akhtar et al. 2019),2.2162871028517843,0.6960485783065011,0
80,0.5,0.0,21,unidirectional,GMM clustering (Checco/Mignemi),-0.00063971340839304,0.4527363184079602,0
80,0.5,0.0,21,bidirectional,apunim,0.0012082126653543098,1.0,0
80,0.5,0.0,21,bidirectional,Krippendorff delta-alpha,-0.0016933299477876473,0.9203980099502488,0
80,0.5,0.0,21,bidirectional,aposteriori unimodality (2024),0.006329113924050633,0.3564356435643564,0
80,0.5,0.0,21,bidirectional,chi-squared (Akhtar et al. 2019),5.735074069238067,0.2198259558830032,0
80,0.5,0.0,21,bidirectional,GMM clustering (Checco/Mignemi),-0.01025608153584821,0.8258706467661692,0
80,0.5,0.0,22,unidirectional,apunim,0.016586669823864808,0.15556235244209266,0
80,0.5,0.0,22,unidirectional,Krippendorff delta-alpha,7.016742652660168e-05,0.43781094527363185,0
80,0.5,0.0,22,unidirectional,aposteriori unimodality (2024),0.006211180124223602,0.39603960396039606,0
80,0.5,0.0,22,unidirectional,chi-squared (Akhtar et al. 2019),6.443671654432647,0.16837430640268577,0
80,0.5,0.0,22,unidirectional,GMM clustering (Checco/Mignemi),-0.0047965848315999005,0.5870646766169154,0
